Pincode,City,State,Area
124001,Rohtak,HARYANA,Loadshare Bhiwani
124112,Rohtak,HARYANA,Loadshare Bhiwani
124113,Rohtak,HARYANA,Loadshare Bhiwani
127021,Bhiwani,HARYANA,Loadshare Bhiwani
127027,Bhiwani,HARYANA,Loadshare Bhiwani
127031,Bhiwani,HARYANA,Loadshare Bhiwani
127032,Bhiwani,HARYANA,Loadshare Bhiwani
127040,Bhiwani,HARYANA,Loadshare Bhiwani
127306,Bhiwani,HARYANA,Loadshare Bhiwani
797103,Dimapur,NAGALAND,Loadshare Dimapur
797115,Dimapur,NAGALAND,Loadshare Dimapur
797113,Dimapur,NAGALAND,Loadshare Dimapur
797117,Dimapur,NAGALAND,Loadshare Dimapur
797116,Dimapur,NAGALAND,Loadshare Dimapur
142044,Firozpur,PUNJAB,Loadshare Ferozepur
142047,Firozpur,PUNJAB,Loadshare Ferozepur
142050,Firozpur,PUNJAB,Loadshare Ferozepur
142052,Firozpur,PUNJAB,Loadshare Ferozepur
152001,Firozpur,PUNJAB,Loadshare Ferozepur
152002,Firozpur,PUNJAB,Loadshare Ferozepur
152004,Firozpur,PUNJAB,Loadshare Ferozepur
142001,Moga,PUNJAB,Loadshare Ferozepur
852130,Supaul,BIHAR,Loadshare Ghuran
852108,Supaul,BIHAR,Loadshare Ghuran
852138,Supaul,BIHAR,Loadshare Ghuran
852111,Saharsa,Bihar,Loadshare Ghuran
835207,Gumla,JHARKHAND,Loadshare Gumla
835208,Gumla,JHARKHAND,Loadshare Gumla
835233,Gumla,JHARKHAND,Loadshare Gumla
835302,Lohardaga,JHARKHAND,Loadshare Gumla
713123,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713129,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713130,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713140,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713143,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713150,Bankura,WEST BENGAL,Loadshare Katwa
713502,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
713512,Purba Bardhaman,WEST BENGAL,Loadshare Katwa
731302,Birbhum,WEST BENGAL,Loadshare Katwa
742137,Murshidabad,WEST BENGAL,Loadshare Katwa
742301,Murshidabad,WEST BENGAL,Loadshare Katwa
742401,Murshidabad,WEST BENGAL,Loadshare Katwa
742404,Murshidabad,WEST BENGAL,Loadshare Katwa
742402,Murshidabad,WEST BENGAL,Loadshare Katwa
754202,Cuttack,ODISHA,Loadshare Kendrapara
754207,Cuttack,ODISHA,Loadshare Kendrapara
754211,Kendrapara,ODISHA,Loadshare Kendrapara
754213,Kendrapara,ODISHA,Loadshare Kendrapara
754215,Kendrapara,ODISHA,Loadshare Kendrapara
754250,Kendrapara,ODISHA,Loadshare Kendrapara
754239,Kendrapara,ODISHA,Loadshare Kendrapara
848203,Khagaria,BIHAR,Loadshare Khagaria
851202,Khagaria,BIHAR,Loadshare Khagaria
851203,Khagaria,BIHAR,Loadshare Khagaria
721101,Medinipur,WEST BENGAL,Loadshare Kharagpur
721102,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721122,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721124,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721126,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721129,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721133,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721135,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721147,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721149,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721150,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721253,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721301,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721302,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721304,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721305,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721306,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721424,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721437,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721513,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721426,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721145,West Midnapore,WEST BENGAL,Loadshare Kharagpur
721303,West Midnapore,WEST BENGAL,Loadshare Kharagpur
821101,Kaimur (Bhabua),BIHAR,Loadshare Mohania
821108,Kaimur (Bhabua),BIHAR,Loadshare Mohania
821110,Kaimur (Bhabua),BIHAR,Loadshare Mohania
821112,Rohtas,BIHAR,Loadshare Mohania
741121,Nadia,WEST BENGAL,Loadshare Ranaghat
741159,Nadia,WEST BENGAL,Loadshare Ranaghat
741201,Nadia,WEST BENGAL,Loadshare Ranaghat
741202,Nadia,WEST BENGAL,Loadshare Ranaghat
741247,Nadia,WEST BENGAL,Loadshare Ranaghat
741255,Nadia,WEST BENGAL,Loadshare Ranaghat
741256,Nadia,WEST BENGAL,Loadshare Ranaghat
741402,Nadia,WEST BENGAL,Loadshare Ranaghat
741404,Nadia,WEST BENGAL,Loadshare Ranaghat
741501,Nadia,WEST BENGAL,Loadshare Ranaghat
741502,Nadia,WEST BENGAL,Loadshare Ranaghat
741505,Nadia,WEST BENGAL,Loadshare Ranaghat
741127,Nadia,WEST BENGAL,Loadshare Ranaghat
741221,Nadia,WEST BENGAL,Loadshare Ranaghat
741222,Nadia,WEST BENGAL,Loadshare Ranaghat
741223,Nadia,WEST BENGAL,Loadshare Ranaghat
741232,Nadia,WEST BENGAL,Loadshare Ranaghat
741234,Nadia,WEST BENGAL,Loadshare Ranaghat
741235,Nadia,WEST BENGAL,Loadshare Ranaghat
741238,Nadia,WEST BENGAL,Loadshare Ranaghat
741245,Nadia,WEST BENGAL,Loadshare Ranaghat
741248,Nadia,WEST BENGAL,Loadshare Ranaghat
741249,Nadia,WEST BENGAL,Loadshare Ranaghat
741250,Nadia,WEST BENGAL,Loadshare Ranaghat
741251,Nadia,WEST BENGAL,Loadshare Ranaghat
741252,Nadia,WEST BENGAL,Loadshare Ranaghat
741253,Nadia,WEST BENGAL,Loadshare Ranaghat
741254,Nadia,WEST BENGAL,Loadshare Ranaghat
741257,Nadia,WEST BENGAL,Loadshare Ranaghat
741504,Nadia,WEST BENGAL,Loadshare Ranaghat
151001,Bathinda,PUNJAB,Shadowfax Bathinda
151004,Bathinda,PUNJAB,Shadowfax Bathinda
151005,Bathinda,PUNJAB,Shadowfax Bathinda
151101,Bathinda,PUNJAB,Shadowfax Bathinda
151102,Bathinda,PUNJAB,Shadowfax Bathinda
151103,Bathinda,PUNJAB,Shadowfax Bathinda
151201,Bathinda,PUNJAB,Shadowfax Bathinda
151505,Mansa,PUNJAB,Shadowfax Bathinda
151509,Bathinda,PUNJAB,Shadowfax Bathinda
151003,Bathinda,PUNJAB,Shadowfax Bathinda
825405,Hazaribag,JHARKHAND,Shadowfax Jhumri Telaiya
825406,Hazaribag,JHARKHAND,Shadowfax Jhumri Telaiya
825409,Koderma,JHARKHAND,Shadowfax Jhumri Telaiya
825410,Koderma,JHARKHAND,Shadowfax Jhumri Telaiya
282001,Agra,UTTAR PRADESH,Udaan Agra
282002,Agra,UTTAR PRADESH,Udaan Agra
282003,Agra,UTTAR PRADESH,Udaan Agra
282004,Agra,UTTAR PRADESH,Udaan Agra
282005,Agra,UTTAR PRADESH,Udaan Agra
282006,Agra,UTTAR PRADESH,Udaan Agra
282007,Agra,UTTAR PRADESH,Udaan Agra
282008,Agra,UTTAR PRADESH,Udaan Agra
282009,Agra,UTTAR PRADESH,Udaan Agra
282010,Agra,UTTAR PRADESH,Udaan Agra
283101,Agra,UTTAR PRADESH,Udaan Agra
283102,Agra,UTTAR PRADESH,Udaan Agra
283104,Agra,UTTAR PRADESH,Udaan Agra
283105,Agra,UTTAR PRADESH,Udaan Agra
283111,Agra,UTTAR PRADESH,Udaan Agra
283114,Agra,UTTAR PRADESH,Udaan Agra
283119,Agra,UTTAR PRADESH,Udaan Agra
283121,Agra,UTTAR PRADESH,Udaan Agra
283122,Agra,UTTAR PRADESH,Udaan Agra
283125,Agra,UTTAR PRADESH,Udaan Agra
283126,Agra,UTTAR PRADESH,Udaan Agra
283201,Agra,UTTAR PRADESH,Udaan Agra
283202,Agra,UTTAR PRADESH,Udaan Agra
300018,Ahmedabad,Gujarat,Udaan Ahmedabad FMLM
380001,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380002,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380004,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380005,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380006,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380007,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380009,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380013,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380014,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380016,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380018,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380019,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380027,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
382352,Ahmedabad,Gujarat,Udaan Ahmedabad FMLM
382424,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
382470,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
382475,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
382480,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
382481,Gandhi Nagar,GUJARAT,Udaan Ahmedabad FMLM
380015,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380051,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380052,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380054,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380055,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380059,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
380061,Ahmedabad,GUJARAT,Udaan Ahmedabad FMLM
414110,Ahmed Nagar,MAHARASHTRA,Udaan Ahmednagar (MH)
202001,Aligarh,UTTAR PRADESH,Udaan Aligarh
202002,Aligarh,UTTAR PRADESH,Udaan Aligarh
202121,Aligarh,UTTAR PRADESH,Udaan Aligarh
202122,Aligarh,UTTAR PRADESH,Udaan Aligarh
202123,Aligarh,UTTAR PRADESH,Udaan Aligarh
202124,Aligarh,UTTAR PRADESH,Udaan Aligarh
202125,Aligarh,UTTAR PRADESH,Udaan Aligarh
202126,Aligarh,UTTAR PRADESH,Udaan Aligarh
202127,Aligarh,UTTAR PRADESH,Udaan Aligarh
202128,Aligarh,UTTAR PRADESH,Udaan Aligarh
202129,Aligarh,UTTAR PRADESH,Udaan Aligarh
202134,Aligarh,UTTAR PRADESH,Udaan Aligarh
202136,Aligarh,UTTAR PRADESH,Udaan Aligarh
202138,Aligarh,UTTAR PRADESH,Udaan Aligarh
202140,Aligarh,UTTAR PRADESH,Udaan Aligarh
202145,Aligarh,UTTAR PRADESH,Udaan Aligarh
202150,Aligarh,UTTAR PRADESH,Udaan Aligarh
202170,Aligarh,UTTAR PRADESH,Udaan Aligarh
202280,Aligarh,UTTAR PRADESH,Udaan Aligarh
202281,Aligarh,UTTAR PRADESH,Udaan Aligarh
202282,Aligarh,UTTAR PRADESH,Udaan Aligarh
204101,Hathras,UTTAR PRADESH,Udaan Aligarh
204102,Hathras,UTTAR PRADESH,Udaan Aligarh
204212,Hathras,UTTAR PRADESH,Udaan Aligarh
204213,Hathras,UTTAR PRADESH,Udaan Aligarh
204214,Hathras,UTTAR PRADESH,Udaan Aligarh
204215,Hathras,UTTAR PRADESH,Udaan Aligarh
204216,Hathras,UTTAR PRADESH,Udaan Aligarh
211001,Allahabad,UTTAR PRADESH,Udaan Allahabad
211002,Allahabad,UTTAR PRADESH,Udaan Allahabad
211003,Allahabad,UTTAR PRADESH,Udaan Allahabad
211004,Allahabad,UTTAR PRADESH,Udaan Allahabad
211005,Allahabad,UTTAR PRADESH,Udaan Allahabad
211006,Allahabad,UTTAR PRADESH,Udaan Allahabad
211007,Allahabad,UTTAR PRADESH,Udaan Allahabad
211008,Allahabad,UTTAR PRADESH,Udaan Allahabad
211009,Allahabad,Uttar Pradesh,Udaan Allahabad
211010,Allahabad,UTTAR PRADESH,Udaan Allahabad
211011,Kaushambi,UTTAR PRADESH,Udaan Allahabad
211012,Allahabad,UTTAR PRADESH,Udaan Allahabad
211013,Allahabad,UTTAR PRADESH,Udaan Allahabad
211014,Allahabad,UTTAR PRADESH,Udaan Allahabad
211015,Allahabad,UTTAR PRADESH,Udaan Allahabad
211016,Allahabad,UTTAR PRADESH,Udaan Allahabad
211017,Allahabad,UTTAR PRADESH,Udaan Allahabad
211019,Allahabad,UTTAR PRADESH,Udaan Allahabad
212111,Allahabad,UTTAR PRADESH,Udaan Allahabad
212208,Allahabad,UTTAR PRADESH,Udaan Allahabad
301001,Alwar,RAJASTHAN,Udaan Alwar
301019,Alwar,RAJASTHAN,Udaan Alwar
301020,Alwar,RAJASTHAN,Udaan Alwar
301021,Alwar,RAJASTHAN,Udaan Alwar
301022,Alwar,RAJASTHAN,Udaan Alwar
301024,Alwar,RAJASTHAN,Udaan Alwar
301025,Alwar,RAJASTHAN,Udaan Alwar
301026,Alwar,RAJASTHAN,Udaan Alwar
301028,Alwar,RAJASTHAN,Udaan Alwar
301030,Alwar,RAJASTHAN,Udaan Alwar
301401,Alwar,RAJASTHAN,Udaan Alwar
301402,Alwar,RAJASTHAN,Udaan Alwar
301404,Alwar,RAJASTHAN,Udaan Alwar
301405,Alwar,RAJASTHAN,Udaan Alwar
301406,Alwar,RAJASTHAN,Udaan Alwar
301408,Alwar,RAJASTHAN,Udaan Alwar
301409,Alwar,RAJASTHAN,Udaan Alwar
301410,Alwar,RAJASTHAN,Udaan Alwar
301411,Alwar,RAJASTHAN,Udaan Alwar
301412,Alwar,RAJASTHAN,Udaan Alwar
301413,Alwar,RAJASTHAN,Udaan Alwar
301414,Alwar,RAJASTHAN,Udaan Alwar
301427,Alwar,RAJASTHAN,Udaan Alwar
301701,Alwar,RAJASTHAN,Udaan Alwar
301702,Alwar,RAJASTHAN,Udaan Alwar
301705,Alwar,RAJASTHAN,Udaan Alwar
301707,Alwar,RAJASTHAN,Udaan Alwar
143001,Amritsar,PUNJAB,Udaan Amritsar
143002,Amritsar,PUNJAB,Udaan Amritsar
143003,Amritsar,PUNJAB,Udaan Amritsar
143005,Amritsar,PUNJAB,Udaan Amritsar
143006,Amritsar,PUNJAB,Udaan Amritsar
143008,Amritsar,PUNJAB,Udaan Amritsar
143009,Amritsar,PUNJAB,Udaan Amritsar
143022,Amritsar,PUNJAB,Udaan Amritsar
143101,Amritsar,PUNJAB,Udaan Amritsar
143102,Amritsar,PUNJAB,Udaan Amritsar
143104,Amritsar,Punjab,Udaan Amritsar
143105,Amritsar,PUNJAB,Udaan Amritsar
143107,Amritsar,PUNJAB,Udaan Amritsar
143501,Amritsar,PUNJAB,Udaan Amritsar
143401,Tarn Taran,PUNJAB,Udaan Amritsar
515671,Anantapur,ANDHRA PRADESH,Udaan Ananthapur
515661,Anantapur,ANDHRA PRADESH,Udaan Ananthapur
515711,Anantapur,ANDHRA PRADESH,Udaan Ananthapur
854311,Araria,BIHAR,Udaan Araria
854325,Araria,BIHAR,Udaan Araria
854329,Araria,BIHAR,Udaan Araria
845411,East Champaran,BIHAR,Udaan Areraj
845417,East Champaran,BIHAR,Udaan Areraj
845419,East Champaran,BIHAR,Udaan Areraj
845423,East Champaran,BIHAR,Udaan Areraj
845425,East Champaran,BIHAR,Udaan Areraj
845434,East Champaran,BIHAR,Udaan Areraj
845437,East Champaran,BIHAR,Udaan Areraj
845458,East Champaran,BIHAR,Udaan Areraj
802152,Bhojpur,BIHAR,Udaan Arrah
802154,Bhojpur,BIHAR,Udaan Arrah
802157,Bhojpur,BIHAR,Udaan Arrah
802158,Bhojpur,BIHAR,Udaan Arrah
802301,Bhojpur,BIHAR,Udaan Arrah
802302,Bhojpur,BIHAR,Udaan Arrah
802312,Bhojpur,BIHAR,Udaan Arrah
713301,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713302,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713303,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713304,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713305,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713324,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713325,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713333,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713335,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713339,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713340,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713341,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713343,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713359,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713360,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713361,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713370,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713386,Paschim Bardhaman,WEST BENGAL,Udaan Asansol
713347,Purba Bardhaman,WEST BENGAL,Udaan Asansol
276001,Azamgarh,UTTAR PRADESH,Udaan Azamgarh
276121,Azamgarh,UTTAR PRADESH,Udaan Azamgarh
276131,Azamgarh,UTTAR PRADESH,Udaan Azamgarh
276135,Azamgarh,UTTAR PRADESH,Udaan Azamgarh
276137,Azamgarh,UTTAR PRADESH,Udaan Azamgarh
276141,Azamgarh,UTTAR PRADESH,Udaan Azamgarh
276202,Azamgarh,UTTAR PRADESH,Udaan Azamgarh
276204,Azamgarh,UTTAR PRADESH,Udaan Azamgarh
276404,Azamgarh,UTTAR PRADESH,Udaan Azamgarh
756001,Baleswar,ODISHA,Udaan Balasore
756002,Baleswar,ODISHA,Udaan Balasore
756003,Baleswar,ODISHA,Udaan Balasore
756019,Baleswar,ODISHA,Udaan Balasore
756027,Baleswar,ODISHA,Udaan Balasore
756028,Baleswar,ODISHA,Udaan Balasore
756029,Baleswar,ODISHA,Udaan Balasore
756040,Baleswar,ODISHA,Udaan Balasore
756041,Baleswar,ODISHA,Udaan Balasore
756042,Baleswar,ODISHA,Udaan Balasore
756043,Baleswar,ODISHA,Udaan Balasore
756045,Baleswar,ODISHA,Udaan Balasore
756056,Baleswar,ODISHA,Udaan Balasore
756060,Baleswar,ODISHA,Udaan Balasore
221713,Ballia,UTTAR PRADESH,Udaan Ballia
277121,Ballia,UTTAR PRADESH,Udaan Ballia
277503,Ballia,UTTAR PRADESH,Udaan Ballia
733133,South Dinajpur,WEST BENGAL,Udaan Balurghat 2
733140,South Dinajpur,WEST BENGAL,Udaan Balurghat 2
733142,South Dinajpur,WEST BENGAL,Udaan Balurghat 2
733154,South Dinajpur,West Bengal,Udaan Balurghat 2
733158,South Dinajpur,WEST BENGAL,Udaan Balurghat 2
210001,Banda,UTTAR PRADESH,Udaan Banda
210120,Banda,UTTAR PRADESH,Udaan Banda
210121,Banda,UTTAR PRADESH,Udaan Banda
210123,Banda,UTTAR PRADESH,Udaan Banda
210125,Banda,UTTAR PRADESH,Udaan Banda
210128,Banda,UTTAR PRADESH,Udaan Banda
210129,Banda,UTTAR PRADESH,Udaan Banda
210201,Banda,UTTAR PRADESH,Udaan Banda
210202,Chitrakoot,UTTAR PRADESH,Udaan Banda
210203,Chitrakoot,UTTAR PRADESH,Udaan Banda
813101,Banka,BIHAR,Udaan Banka
813102,Banka,BIHAR,Udaan Banka
813103,Banka,BIHAR,Udaan Banka
813104,Banka,BIHAR,Udaan Banka
813107,Banka,BIHAR,Udaan Banka
813109,Banka,BIHAR,Udaan Banka
813110,Banka,BIHAR,Udaan Banka
813207,Banka,BIHAR,Udaan Banka
813121,Banka,Bihar,Udaan Banka
813116,Banka,Bihar,Udaan Banka
813123,Banka,Bihar,Udaan Banka
813124,Banka,Bihar,Udaan Banka
813117,Banka,Bihar,Udaan Banka
813119,Banka,Bihar,Udaan Banka
813118,Banka,Bihar,Udaan Banka
813125,Banka,Bihar,Udaan Banka
813126,Banka,Bihar,Udaan Banka
813115,Banka,Bihar,Udaan Banka
813113,Bhagalpur,BIHAR,Udaan Banka
813224,Bhagalpur,Bihar,Udaan Banka
722101,Bankura,WEST BENGAL,Udaan Bankura
722102,Bankura,WEST BENGAL,Udaan Bankura
722107,Bankura,West Bengal,Udaan Bankura
722110,Bankura,West Bengal,Udaan Bankura
722121,Bankura,WEST BENGAL,Udaan Bankura
722122,Bankura,WEST BENGAL,Udaan Bankura
722132,Bankura,WEST BENGAL,Udaan Bankura
722133,Bankura,WEST BENGAL,Udaan Bankura
722136,Bankura,WEST BENGAL,Udaan Bankura
722137,Bankura,WEST BENGAL,Udaan Bankura
722138,Bankura,WEST BENGAL,Udaan Bankura
722139,Bankura,WEST BENGAL,Udaan Bankura
722140,Bankura,WEST BENGAL,Udaan Bankura
722141,Bankura,WEST BENGAL,Udaan Bankura
722142,Bankura,WEST BENGAL,Udaan Bankura
722144,Bankura,WEST BENGAL,Udaan Bankura
722145,Bankura,West Bengal,Udaan Bankura
722146,Bankura,WEST BENGAL,Udaan Bankura
722147,Bankura,WEST BENGAL,Udaan Bankura
722149,Bankura,WEST BENGAL,Udaan Bankura
722151,Bankura,WEST BENGAL,Udaan Bankura
722152,Bankura,WEST BENGAL,Udaan Bankura
722155,Bankura,WEST BENGAL,Udaan Bankura
722156,Bankura,WEST BENGAL,Udaan Bankura
722160,Bankura,WEST BENGAL,Udaan Bankura
722162,Bankura,WEST BENGAL,Udaan Bankura
722164,Bankura,WEST BENGAL,Udaan Bankura
722173,Bankura,WEST BENGAL,Udaan Bankura
722176,Bankura,West Bengal,Udaan Bankura
722178,Bankura,West Bengal,Udaan Bankura
722180,Bankura,West Bengal,Udaan Bankura
722181,Bankura,West Bengal,Udaan Bankura
722183,Bankura,WEST BENGAL,Udaan Bankura
722203,Bankura,WEST BENGAL,Udaan Bankura
722205,Bankura,WEST BENGAL,Udaan Bankura
722206,Bankura,WEST BENGAL,Udaan Bankura
722207,Bankura,WEST BENGAL,Udaan Bankura
722208,Bankura,WEST BENGAL,Udaan Bankura
700049,North 24 Parganas,WEST BENGAL,Udaan Barasat
700051,North 24 Parganas,WEST BENGAL,Udaan Barasat
700056,North 24 Parganas,WEST BENGAL,Udaan Barasat
700058,North 24 Parganas,WEST BENGAL,Udaan Barasat
700083,North 24 Parganas,WEST BENGAL,Udaan Barasat
700110,North 24 Parganas,WEST BENGAL,Udaan Barasat
700111,North 24 Parganas,WEST BENGAL,Udaan Barasat
700112,North 24 Parganas,WEST BENGAL,Udaan Barasat
700113,North 24 Parganas,WEST BENGAL,Udaan Barasat
700114,North 24 Parganas,WEST BENGAL,Udaan Barasat
700115,North 24 Parganas,WEST BENGAL,Udaan Barasat
700117,North 24 Parganas,WEST BENGAL,Udaan Barasat
700118,North 24 Parganas,WEST BENGAL,Udaan Barasat
700119,North 24 Parganas,WEST BENGAL,Udaan Barasat
700120,North 24 Parganas,WEST BENGAL,Udaan Barasat
700121,North 24 Parganas,WEST BENGAL,Udaan Barasat
700122,North 24 Parganas,WEST BENGAL,Udaan Barasat
700123,North 24 Parganas,WEST BENGAL,Udaan Barasat
700124,North 24 Parganas,WEST BENGAL,Udaan Barasat
700125,North 24 Parganas,WEST BENGAL,Udaan Barasat
700126,North 24 Parganas,WEST BENGAL,Udaan Barasat
700127,North 24 Parganas,WEST BENGAL,Udaan Barasat
700128,North 24 Parganas,WEST BENGAL,Udaan Barasat
700129,North 24 Parganas,WEST BENGAL,Udaan Barasat
700130,North 24 Parganas,WEST BENGAL,Udaan Barasat
700131,North 24 Parganas,WEST BENGAL,Udaan Barasat
700132,North 24 Parganas,WEST BENGAL,Udaan Barasat
700133,North 24 Parganas,WEST BENGAL,Udaan Barasat
700155,North 24 Parganas,WEST BENGAL,Udaan Barasat
743122,North 24 Parganas,WEST BENGAL,Udaan Barasat
743221,North 24 Parganas,WEST BENGAL,Udaan Barasat
743222,North 24 Parganas,WEST BENGAL,Udaan Barasat
743223,North 24 Parganas,WEST BENGAL,Udaan Barasat
743233,North 24 Parganas,WEST BENGAL,Udaan Barasat
743234,North 24 Parganas,WEST BENGAL,Udaan Barasat
743248,North 24 Parganas,WEST BENGAL,Udaan Barasat
743249,North 24 Parganas,WEST BENGAL,Udaan Barasat
743263,North 24 Parganas,WEST BENGAL,Udaan Barasat
743272,North 24 Parganas,WEST BENGAL,Udaan Barasat
743289,North 24 Parganas,WEST BENGAL,Udaan Barasat
743294,North 24 Parganas,WEST BENGAL,Udaan Barasat
743423,North 24 Parganas,WEST BENGAL,Udaan Barasat
743424,North 24 Parganas,WEST BENGAL,Udaan Barasat
743704,North 24 Parganas,WEST BENGAL,Udaan Barasat
700057,North 24 Parganas,WEST BENGAL,Udaan Barasat
700109,North 24 Parganas,WEST BENGAL,Udaan Barasat
243001,Bareilly,UTTAR PRADESH,Udaan Bareilly
243002,Bareilly,UTTAR PRADESH,Udaan Bareilly
243003,Pilibhit,UTTAR PRADESH,Udaan Bareilly
243004,Bareilly,UTTAR PRADESH,Udaan Bareilly
243005,Bareilly,UTTAR PRADESH,Udaan Bareilly
243006,Bareilly,UTTAR PRADESH,Udaan Bareilly
243122,Bareilly,UTTAR PRADESH,Udaan Bareilly
243123,Pilibhit,UTTAR PRADESH,Udaan Bareilly
243126,Bareilly,UTTAR PRADESH,Udaan Bareilly
243201,Bareilly,UTTAR PRADESH,Udaan Bareilly
243202,Bareilly,UTTAR PRADESH,Udaan Bareilly
243501,Bareilly,UTTAR PRADESH,Udaan Bareilly
243502,Bareilly,UTTAR PRADESH,Udaan Bareilly
243503,Bareilly,UTTAR PRADESH,Udaan Bareilly
243506,Bareilly,UTTAR PRADESH,Udaan Bareilly
757001,Mayurbhanj,ODISHA,Udaan Baripada
757002,Mayurbhanj,ODISHA,Udaan Baripada
757003,Mayurbhanj,ODISHA,Udaan Baripada
757016,Mayurbhanj,ODISHA,Udaan Baripada
757017,Mayurbhanj,ODISHA,Udaan Baripada
757018,Mayurbhanj,ODISHA,Udaan Baripada
757019,Mayurbhanj,ODISHA,Udaan Baripada
757020,Mayurbhanj,ODISHA,Udaan Baripada
757021,Mayurbhanj,ODISHA,Udaan Baripada
757024,Mayurbhanj,ODISHA,Udaan Baripada
757025,Mayurbhanj,ODISHA,Udaan Baripada
757027,Mayurbhanj,ODISHA,Udaan Baripada
757028,Mayurbhanj,ODISHA,Udaan Baripada
757029,Mayurbhanj,ODISHA,Udaan Baripada
757030,Mayurbhanj,ODISHA,Udaan Baripada
757032,Mayurbhanj,ODISHA,Udaan Baripada
757041,Mayurbhanj,ODISHA,Udaan Baripada
757049,Mayurbhanj,ODISHA,Udaan Baripada
757075,Mayurbhanj,ODISHA,Udaan Baripada
757084,Mayurbhanj,ODISHA,Udaan Baripada
757086,Mayurbhanj,ODISHA,Udaan Baripada
757103,Mayurbhanj,ODISHA,Udaan Baripada
757104,Mayurbhanj,ODISHA,Udaan Baripada
757105,Mayurbhanj,ODISHA,Udaan Baripada
757107,Mayurbhanj,ODISHA,Udaan Baripada
272123,Basti,UTTAR PRADESH,Udaan Basti
272124,Basti,UTTAR PRADESH,Udaan Basti
272128,Basti,UTTAR PRADESH,Udaan Basti
272131,Basti,UTTAR PRADESH,Udaan Basti
